3007111111,JULIO MORA JIRON,13000000,50000,8,5,3600000,1690000,00,12,14690000,00,1052720,83,
875598657,CINDY LOPEZ RODRIGUEZ,13000000,50000,8,5,4000000,13,00,,,
875598657,CINDY LOPEZ RODRIGUEZ,13000000,50000,8,5,4000000,1690000,00,12,14690000,00,1016554,17,
3007111111|ALEX  SOLIS DELGADO|15000000|50000|8,5|5000000|13|00|||
3007111111|ALEX  SOLIS DELGADO|15000000|50000|8,5|5000000|1950000,00|12|16950000,00|1130479,17|
3434334|JOSE CAMPOS SOTO|15000000|50000|8,5|4000000|13|00|||
3434334|JOSE CAMPOS SOTO|15000000|50000|8,5|4000000|1950000,00|12|16950000,00|1220895,83|
434343434|JOSE TORRES TORRES|9000000|50000|8,5|3600000|13|36|||
434343434|JOSE TORRES TORRES|11000000|50000|8,5|3600000|1430000,00|36|12430000,00|316126,39|
09090909|JUKIO ARER ARED|18000000|50000|8,5|5000000|13|48|||
787878787|CARLOS MARINO AZUL|11000000|50000|8,5|4700000|1430000,00|38|12430000,00|270711,84|
1212121212112|CHALO  MO VIL|11500000|50000|8,5|3600000|1495000,00|90|12995000,00|163261,94|
0101010101|CASA RO LAN|11000000|50000|8,5|3600000|1430000,00|24|12430000,00|449189,58|
0101010101|CASA RO LAN|11000000|50000|8,5|3600000|1430000,00|24|12430000,00|449189,58|
